provider,principal_ref,email,last_activity
aws,arn:aws:iam::111122223333:user/hana.kumar,hana.kumar@gov.ae,2026-07-05
azure,hana.kumar@gov.ae,hana.kumar@gov.ae,2026-07-05
azure,noura.habib@gov.ae,noura.habib@gov.ae,2025-12-15
gcp,user:noura.habib@gov.ae,noura.habib@gov.ae,2025-12-15
gcp,user:emma.ibrahim@gov.ae,emma.ibrahim@gov.ae,2025-12-26
aws,arn:aws:iam::111122223333:user/priya.saleh,priya.saleh@gov.ae,2026-07-19
azure,priya.saleh@gov.ae,priya.saleh@gov.ae,2026-07-19
aws,arn:aws:iam::111122223333:user/khalid.patel,khalid.patel@gov.ae,2026-07-18
azure,khalid.patel@gov.ae,khalid.patel@gov.ae,2026-07-18
gcp,user:khalid.patel@gov.ae,khalid.patel@gov.ae,2026-07-18
aws,arn:aws:iam::111122223333:user/mariam.al.balushi,mariam.albalushi@gov.ae,2026-01-23
gcp,user:ahmad.saleh@gov.ae,ahmad.saleh@gov.ae,2025-11-17
aws,arn:aws:iam::111122223333:user/omar.sharma,omar.sharma@gov.ae,2026-07-04
gcp,user:omar.sharma@gov.ae,omar.sharma@gov.ae,2026-07-04
azure,tariq.haddad2@gov.ae,tariq.haddad2@gov.ae,2026-06-27
gcp,user:tariq.haddad2@gov.ae,tariq.haddad2@gov.ae,2026-06-27
azure,noura.habib2@gov.ae,noura.habib2@gov.ae,2026-09-08
gcp,user:noura.habib2@gov.ae,noura.habib2@gov.ae,2026-09-08
azure,hana.alsuwaidi@gov.ae,hana.alsuwaidi@gov.ae,2026-08-06
gcp,user:hana.alsuwaidi@gov.ae,hana.alsuwaidi@gov.ae,2026-08-06
gcp,user:arun.nassar@gov.ae,arun.nassar@gov.ae,2026-07-31
aws,arn:aws:iam::111122223333:user/latifa.haddad,latifa.haddad@gov.ae,2026-08-19
azure,latifa.haddad@gov.ae,latifa.haddad@gov.ae,2026-08-19
gcp,user:latifa.haddad@gov.ae,latifa.haddad@gov.ae,2026-08-19
aws,arn:aws:iam::111122223333:user/wei.al.nuaimi,wei.alnuaimi@gov.ae,2026-04-10
azure,wei.alnuaimi@gov.ae,wei.alnuaimi@gov.ae,2026-04-10
gcp,user:wei.alnuaimi@gov.ae,wei.alnuaimi@gov.ae,2026-04-10
aws,arn:aws:iam::111122223333:user/fatima.al.suwaidi,fatima.alsuwaidi@gov.ae,2026-05-27
gcp,user:fatima.alsuwaidi@gov.ae,fatima.alsuwaidi@gov.ae,2026-05-27
aws,arn:aws:iam::111122223333:user/fatima.patel,fatima.patel@gov.ae,2026-07-04
azure,fatima.patel@gov.ae,fatima.patel@gov.ae,2026-07-04
gcp,user:fatima.patel@gov.ae,fatima.patel@gov.ae,2026-07-04
aws,arn:aws:iam::111122223333:user/emma.smith,emma.smith2@gov.ae,2026-08-06
azure,emma.smith2@gov.ae,emma.smith2@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/shaikha.smith,shaikha.smith@gov.ae,2026-08-08
azure,shaikha.smith@gov.ae,shaikha.smith@gov.ae,2026-08-08
gcp,user:shaikha.smith@gov.ae,shaikha.smith@gov.ae,2026-08-08
aws,arn:aws:iam::111122223333:user/bilal.rahman,bilal.rahman@gov.ae,2026-08-08
azure,bilal.rahman@gov.ae,bilal.rahman@gov.ae,2026-08-08
gcp,user:bilal.rahman@gov.ae,bilal.rahman@gov.ae,2026-08-08
gcp,user:bilal.chen@gov.ae,bilal.chen@gov.ae,2026-08-15
aws,arn:aws:iam::111122223333:user/olivia.al.nuaimi,olivia.alnuaimi@gov.ae,2026-08-08
azure,olivia.alnuaimi@gov.ae,olivia.alnuaimi@gov.ae,2026-08-08
aws,arn:aws:iam::111122223333:user/latifa.silva,latifa.silva@gov.ae,2026-07-30
azure,latifa.silva@gov.ae,latifa.silva@gov.ae,2026-07-30
gcp,user:latifa.silva@gov.ae,latifa.silva@gov.ae,2026-07-30
aws,arn:aws:iam::111122223333:user/noah.osman,noah.osman@gov.ae,2025-11-15
azure,noah.osman@gov.ae,noah.osman@gov.ae,2025-11-15
gcp,user:noah.osman@gov.ae,noah.osman@gov.ae,2025-11-15
azure,sofia.smith@gov.ae,sofia.smith@gov.ae,2025-12-15
gcp,user:sofia.smith@gov.ae,sofia.smith@gov.ae,2025-12-15
azure,olivia.almansoori2@gov.ae,olivia.almansoori2@gov.ae,2026-07-27
azure,fatima.smith@gov.ae,fatima.smith@gov.ae,2026-08-04
aws,arn:aws:iam::111122223333:user/olivia.al.marri,olivia.almarri@gov.ae,2026-06-20
azure,olivia.almarri@gov.ae,olivia.almarri@gov.ae,2026-06-20
gcp,user:olivia.almarri@gov.ae,olivia.almarri@gov.ae,2026-06-20
aws,arn:aws:iam::111122223333:user/noura.osman,noura.osman@gov.ae,2026-08-06
azure,noura.osman@gov.ae,noura.osman@gov.ae,2026-08-06
gcp,user:noura.osman@gov.ae,noura.osman@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/faisal.aziz,faisal.aziz@gov.ae,2026-07-13
azure,faisal.aziz@gov.ae,faisal.aziz@gov.ae,2026-07-13
gcp,user:faisal.aziz@gov.ae,faisal.aziz@gov.ae,2026-07-13
aws,arn:aws:iam::111122223333:user/reem.osman,reem.osman@gov.ae,2026-08-02
azure,reem.osman@gov.ae,reem.osman@gov.ae,2026-08-02
aws,arn:aws:iam::111122223333:user/liam.wang,liam.wang@gov.ae,2026-08-07
aws,arn:aws:iam::111122223333:user/bilal.rahman,bilal.rahman2@gov.ae,2026-09-05
azure,bilal.rahman2@gov.ae,bilal.rahman2@gov.ae,2026-09-05
aws,arn:aws:iam::111122223333:user/huda.costa,huda.costa3@gov.ae,2026-08-18
azure,huda.costa3@gov.ae,huda.costa3@gov.ae,2026-08-18
aws,arn:aws:iam::111122223333:user/hana.osman,hana.osman@gov.ae,2026-06-20
gcp,user:hana.osman@gov.ae,hana.osman@gov.ae,2026-06-20
aws,arn:aws:iam::111122223333:user/noah.ibrahim,noah.ibrahim@gov.ae,2026-08-06
azure,noah.ibrahim@gov.ae,noah.ibrahim@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/reem.zaman,reem.zaman@gov.ae,2026-07-15
azure,reem.zaman@gov.ae,reem.zaman@gov.ae,2026-07-15
aws,arn:aws:iam::111122223333:user/nasser.wang,nasser.wang@gov.ae,2026-07-21
gcp,user:nasser.wang@gov.ae,nasser.wang@gov.ae,2026-07-21
azure,hana.kamal@gov.ae,hana.kamal@gov.ae,2026-07-02
gcp,user:hana.kamal@gov.ae,hana.kamal@gov.ae,2026-07-02
azure,khalid.silva@gov.ae,khalid.silva@gov.ae,2026-08-05
gcp,user:khalid.silva@gov.ae,khalid.silva@gov.ae,2026-08-05
aws,arn:aws:iam::111122223333:user/hana.saleh,hana.saleh2@gov.ae,2026-07-14
azure,hana.saleh2@gov.ae,hana.saleh2@gov.ae,2026-07-14
azure,latifa.smith@gov.ae,latifa.smith@gov.ae,2026-09-04
aws,arn:aws:iam::111122223333:user/noah.ibrahim,noah.ibrahim2@gov.ae,2026-09-07
azure,noah.ibrahim2@gov.ae,noah.ibrahim2@gov.ae,2026-09-07
gcp,user:noah.ibrahim2@gov.ae,noah.ibrahim2@gov.ae,2026-09-07
azure,noah.alnuaimi2@gov.ae,noah.alnuaimi2@gov.ae,2025-12-01
gcp,user:noah.alnuaimi2@gov.ae,noah.alnuaimi2@gov.ae,2025-12-01
aws,arn:aws:iam::111122223333:user/tariq.wang,tariq.wang@gov.ae,2026-03-27
azure,tariq.wang@gov.ae,tariq.wang@gov.ae,2026-03-27
gcp,user:tariq.wang@gov.ae,tariq.wang@gov.ae,2026-03-27
aws,arn:aws:iam::111122223333:user/khalid.osman,khalid.osman@gov.ae,2025-12-29
azure,khalid.osman@gov.ae,khalid.osman@gov.ae,2025-12-29
gcp,user:khalid.osman@gov.ae,khalid.osman@gov.ae,2025-12-29
gcp,user:nasser.kumar@gov.ae,nasser.kumar@gov.ae,2026-07-14
aws,arn:aws:iam::111122223333:user/hana.sharma,hana.sharma@gov.ae,2026-07-08
azure,hana.sharma@gov.ae,hana.sharma@gov.ae,2026-07-08
gcp,user:layla.albalushi@gov.ae,layla.albalushi@gov.ae,2026-02-18
aws,arn:aws:iam::111122223333:user/reem.kamal,reem.kamal@gov.ae,2026-08-06
azure,reem.kamal@gov.ae,reem.kamal@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/majid.osman,majid.osman@gov.ae,2026-07-07
azure,majid.osman@gov.ae,majid.osman@gov.ae,2026-07-07
gcp,user:majid.osman@gov.ae,majid.osman@gov.ae,2026-07-07
aws,arn:aws:iam::111122223333:user/noah.al.balushi,noah.albalushi@gov.ae,2026-04-17
azure,noah.albalushi@gov.ae,noah.albalushi@gov.ae,2026-04-17
gcp,user:noah.albalushi@gov.ae,noah.albalushi@gov.ae,2026-04-17
aws,arn:aws:iam::111122223333:user/huda.smith,huda.smith@gov.ae,2026-08-29
gcp,user:huda.smith@gov.ae,huda.smith@gov.ae,2026-08-29
aws,arn:aws:iam::111122223333:user/huda.khan,huda.khan@gov.ae,2026-04-11
azure,huda.khan@gov.ae,huda.khan@gov.ae,2026-04-11
gcp,user:huda.khan@gov.ae,huda.khan@gov.ae,2026-04-11
aws,arn:aws:iam::111122223333:user/zayed.zaman,zayed.zaman@gov.ae,2026-07-12
azure,zayed.zaman@gov.ae,zayed.zaman@gov.ae,2026-07-12
gcp,user:zayed.zaman@gov.ae,zayed.zaman@gov.ae,2026-07-12
gcp,user:latifa.haddad2@gov.ae,latifa.haddad2@gov.ae,2026-07-13
aws,arn:aws:iam::111122223333:user/sofia.costa,sofia.costa2@gov.ae,2026-03-20
azure,sofia.costa2@gov.ae,sofia.costa2@gov.ae,2026-03-20
gcp,user:sofia.costa2@gov.ae,sofia.costa2@gov.ae,2026-03-20
aws,arn:aws:iam::111122223333:user/sultan.sharma,sultan.sharma@gov.ae,2026-06-26
azure,sultan.sharma@gov.ae,sultan.sharma@gov.ae,2026-06-26
aws,arn:aws:iam::111122223333:user/saeed.smith,saeed.smith2@gov.ae,2026-06-27
azure,saeed.smith2@gov.ae,saeed.smith2@gov.ae,2026-06-27
azure,huda.kumar@gov.ae,huda.kumar@gov.ae,2026-08-24
aws,arn:aws:iam::111122223333:user/mariam.nassar,mariam.nassar@gov.ae,2026-06-28
gcp,user:mariam.nassar@gov.ae,mariam.nassar@gov.ae,2026-06-28
azure,saeed.kumar2@gov.ae,saeed.kumar2@gov.ae,2026-06-24
gcp,user:saeed.kumar2@gov.ae,saeed.kumar2@gov.ae,2026-06-24
azure,liam.haddad@gov.ae,liam.haddad@gov.ae,2026-06-30
gcp,user:liam.haddad@gov.ae,liam.haddad@gov.ae,2026-06-30
aws,arn:aws:iam::111122223333:user/faisal.wang,faisal.wang@gov.ae,2026-08-14
gcp,user:faisal.wang@gov.ae,faisal.wang@gov.ae,2026-08-14
azure,hana.patel@gov.ae,hana.patel@gov.ae,2026-06-27
azure,olivia.farah@gov.ae,olivia.farah@gov.ae,2026-07-31
gcp,user:olivia.farah@gov.ae,olivia.farah@gov.ae,2026-07-31
aws,arn:aws:iam::111122223333:user/noah.al.hashimi,noah.alhashimi@gov.ae,2026-08-29
azure,noah.alhashimi@gov.ae,noah.alhashimi@gov.ae,2026-08-29
aws,arn:aws:iam::111122223333:user/priya.ibrahim,priya.ibrahim@gov.ae,2026-07-28
azure,priya.ibrahim@gov.ae,priya.ibrahim@gov.ae,2026-07-28
aws,arn:aws:iam::111122223333:user/fatima.qureshi,fatima.qureshi@gov.ae,2026-07-03
azure,fatima.qureshi@gov.ae,fatima.qureshi@gov.ae,2026-07-03
gcp,user:fatima.qureshi@gov.ae,fatima.qureshi@gov.ae,2026-07-03
aws,arn:aws:iam::111122223333:user/yousef.smith,yousef.smith@gov.ae,2026-07-24
azure,yousef.smith@gov.ae,yousef.smith@gov.ae,2026-07-24
gcp,user:yousef.smith@gov.ae,yousef.smith@gov.ae,2026-07-24
aws,arn:aws:iam::111122223333:user/bilal.al.hashimi,bilal.alhashimi@gov.ae,2026-08-27
azure,bilal.alhashimi@gov.ae,bilal.alhashimi@gov.ae,2026-08-27
gcp,user:bilal.alhashimi@gov.ae,bilal.alhashimi@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/noura.al.hashimi,noura.alhashimi@gov.ae,2026-09-06
azure,noura.alhashimi@gov.ae,noura.alhashimi@gov.ae,2026-09-06
gcp,user:noura.alhashimi@gov.ae,noura.alhashimi@gov.ae,2026-09-06
aws,arn:aws:iam::111122223333:user/wafa.farah,wafa.farah@gov.ae,2026-08-22
azure,wafa.farah@gov.ae,wafa.farah@gov.ae,2026-08-22
gcp,user:wafa.farah@gov.ae,wafa.farah@gov.ae,2026-08-22
aws,arn:aws:iam::111122223333:user/khalid.costa,khalid.costa@gov.ae,2026-06-26
aws,arn:aws:iam::111122223333:user/maha.khan,maha.khan@gov.ae,2026-08-21
azure,maha.khan@gov.ae,maha.khan@gov.ae,2026-08-21
gcp,user:maha.khan@gov.ae,maha.khan@gov.ae,2026-08-21
aws,arn:aws:iam::111122223333:user/maha.al.hashimi,maha.alhashimi@gov.ae,2026-08-04
azure,maha.alhashimi@gov.ae,maha.alhashimi@gov.ae,2026-08-04
gcp,user:maha.alhashimi@gov.ae,maha.alhashimi@gov.ae,2026-08-04
aws,arn:aws:iam::111122223333:user/aisha.ibrahim,aisha.ibrahim@gov.ae,2026-06-23
azure,aisha.ibrahim@gov.ae,aisha.ibrahim@gov.ae,2026-06-23
aws,arn:aws:iam::111122223333:user/wafa.al.suwaidi,wafa.alsuwaidi@gov.ae,2026-09-07
azure,wafa.alsuwaidi@gov.ae,wafa.alsuwaidi@gov.ae,2026-09-07
aws,arn:aws:iam::111122223333:user/aisha.kumar,aisha.kumar@gov.ae,2026-07-16
azure,aisha.kumar@gov.ae,aisha.kumar@gov.ae,2026-07-16
gcp,user:aisha.kumar@gov.ae,aisha.kumar@gov.ae,2026-07-16
aws,arn:aws:iam::111122223333:user/arun.khan,arun.khan@gov.ae,2026-06-20
azure,arun.khan@gov.ae,arun.khan@gov.ae,2026-06-20
gcp,user:arun.khan@gov.ae,arun.khan@gov.ae,2026-06-20
aws,arn:aws:iam::111122223333:user/priya.khan,priya.khan@gov.ae,2026-08-21
gcp,user:priya.khan@gov.ae,priya.khan@gov.ae,2026-08-21
aws,arn:aws:iam::111122223333:user/wei.al.marri,wei.almarri@gov.ae,2026-07-13
azure,wei.almarri@gov.ae,wei.almarri@gov.ae,2026-07-13
gcp,user:wei.almarri@gov.ae,wei.almarri@gov.ae,2026-07-13
azure,noah.haddad@gov.ae,noah.haddad@gov.ae,2026-08-29
gcp,user:noah.haddad@gov.ae,noah.haddad@gov.ae,2026-08-29
aws,arn:aws:iam::111122223333:user/ahmad.farah,ahmad.farah@gov.ae,2025-12-05
azure,ahmad.farah@gov.ae,ahmad.farah@gov.ae,2025-12-05
gcp,user:ahmad.farah@gov.ae,ahmad.farah@gov.ae,2025-12-05
aws,arn:aws:iam::111122223333:user/majid.al.nuaimi,majid.alnuaimi2@gov.ae,2026-07-07
azure,majid.alnuaimi2@gov.ae,majid.alnuaimi2@gov.ae,2026-07-07
gcp,user:yousef.kamal@gov.ae,yousef.kamal@gov.ae,2026-01-16
aws,arn:aws:iam::111122223333:user/khalid.osman,khalid.osman2@gov.ae,2026-09-04
azure,emma.nassar@gov.ae,emma.nassar@gov.ae,2026-09-02
gcp,user:emma.nassar@gov.ae,emma.nassar@gov.ae,2026-09-02
aws,arn:aws:iam::111122223333:user/james.silva,james.silva@gov.ae,2026-07-29
azure,james.silva@gov.ae,james.silva@gov.ae,2026-07-29
azure,adel.alsuwaidi@gov.ae,adel.alsuwaidi@gov.ae,2026-07-03
gcp,user:saeed.haddad@gov.ae,saeed.haddad@gov.ae,2026-08-28
azure,nasser.ibrahim@gov.ae,nasser.ibrahim@gov.ae,2026-06-21
gcp,user:nasser.ibrahim@gov.ae,nasser.ibrahim@gov.ae,2026-06-21
aws,arn:aws:iam::111122223333:user/wei.saleh,wei.saleh@gov.ae,2025-12-27
gcp,user:wei.saleh@gov.ae,wei.saleh@gov.ae,2025-12-27
gcp,user:olivia.wang@gov.ae,olivia.wang@gov.ae,2026-08-14
gcp,user:dana.costa@gov.ae,dana.costa@gov.ae,2026-09-08
gcp,user:shaikha.rahman2@gov.ae,shaikha.rahman2@gov.ae,2026-09-05
azure,james.alsuwaidi@gov.ae,james.alsuwaidi@gov.ae,2026-07-10
gcp,user:james.alsuwaidi@gov.ae,james.alsuwaidi@gov.ae,2026-07-10
aws,arn:aws:iam::111122223333:user/khalid.wang,khalid.wang@gov.ae,2026-07-30
azure,khalid.wang@gov.ae,khalid.wang@gov.ae,2026-07-30
gcp,user:khalid.wang@gov.ae,khalid.wang@gov.ae,2026-07-30
aws,arn:aws:iam::111122223333:user/priya.habib,priya.habib@gov.ae,2026-07-31
azure,priya.habib@gov.ae,priya.habib@gov.ae,2026-07-31
gcp,user:priya.habib@gov.ae,priya.habib@gov.ae,2026-07-31
aws,arn:aws:iam::111122223333:user/sultan.silva,sultan.silva@gov.ae,2026-08-14
azure,sultan.silva@gov.ae,sultan.silva@gov.ae,2026-08-14
aws,arn:aws:iam::111122223333:user/wei.nassar,wei.nassar@gov.ae,2026-07-12
gcp,user:wei.nassar@gov.ae,wei.nassar@gov.ae,2026-07-12
aws,arn:aws:iam::111122223333:user/hana.johnson,hana.johnson@gov.ae,2026-07-31
aws,arn:aws:iam::111122223333:user/olivia.farah,olivia.farah2@gov.ae,2026-08-04
azure,olivia.farah2@gov.ae,olivia.farah2@gov.ae,2026-08-04
gcp,user:shaikha.silva@gov.ae,shaikha.silva@gov.ae,2026-08-13
azure,olivia.almarri2@gov.ae,olivia.almarri2@gov.ae,2026-08-18
gcp,user:olivia.almarri2@gov.ae,olivia.almarri2@gov.ae,2026-08-18
aws,arn:aws:iam::111122223333:user/layla.haddad,layla.haddad@gov.ae,2026-05-23
gcp,user:layla.haddad@gov.ae,layla.haddad@gov.ae,2026-05-23
aws,arn:aws:iam::111122223333:user/layla.silva,layla.silva@gov.ae,2026-06-25
azure,layla.silva@gov.ae,layla.silva@gov.ae,2026-06-25
aws,arn:aws:iam::111122223333:user/hana.wang,hana.wang@gov.ae,2026-07-11
azure,hana.wang@gov.ae,hana.wang@gov.ae,2026-07-11
gcp,user:hana.wang@gov.ae,hana.wang@gov.ae,2026-07-11
aws,arn:aws:iam::111122223333:user/zayed.saleh,zayed.saleh@gov.ae,2026-07-11
azure,zayed.saleh@gov.ae,zayed.saleh@gov.ae,2026-07-11
aws,arn:aws:iam::111122223333:user/nasser.patel,nasser.patel2@gov.ae,2026-06-25
azure,nasser.patel2@gov.ae,nasser.patel2@gov.ae,2026-06-25
gcp,user:nasser.patel2@gov.ae,nasser.patel2@gov.ae,2026-06-25
azure,rashid.patel@gov.ae,rashid.patel@gov.ae,2026-08-17
gcp,user:rashid.patel@gov.ae,rashid.patel@gov.ae,2026-08-17
aws,arn:aws:iam::111122223333:user/shaikha.kamal,shaikha.kamal@gov.ae,2026-06-24
azure,shaikha.kamal@gov.ae,shaikha.kamal@gov.ae,2026-06-24
gcp,user:shaikha.kamal@gov.ae,shaikha.kamal@gov.ae,2026-06-24
azure,liam.alhashimi@gov.ae,liam.alhashimi@gov.ae,2026-07-13
gcp,user:liam.alhashimi@gov.ae,liam.alhashimi@gov.ae,2026-07-13
aws,arn:aws:iam::111122223333:user/priya.kamal,priya.kamal@gov.ae,2026-09-01
azure,priya.kamal@gov.ae,priya.kamal@gov.ae,2026-09-01
gcp,user:priya.kamal@gov.ae,priya.kamal@gov.ae,2026-09-01
azure,latifa.qureshi@gov.ae,latifa.qureshi@gov.ae,2026-07-22
gcp,user:latifa.qureshi@gov.ae,latifa.qureshi@gov.ae,2026-07-22
azure,saeed.patel@gov.ae,saeed.patel@gov.ae,2026-07-24
gcp,user:saeed.patel@gov.ae,saeed.patel@gov.ae,2026-07-24
aws,arn:aws:iam::111122223333:user/sofia.wang,sofia.wang@gov.ae,2026-07-08
aws,arn:aws:iam::111122223333:user/tariq.aziz,tariq.aziz@gov.ae,2026-06-30
azure,tariq.aziz@gov.ae,tariq.aziz@gov.ae,2026-06-30
gcp,user:tariq.aziz@gov.ae,tariq.aziz@gov.ae,2026-06-30
gcp,user:latifa.silva2@gov.ae,latifa.silva2@gov.ae,2026-09-04
aws,arn:aws:iam::111122223333:user/nasser.zaman,nasser.zaman@gov.ae,2026-07-03
gcp,user:nasser.zaman@gov.ae,nasser.zaman@gov.ae,2026-07-03
aws,arn:aws:iam::111122223333:user/faisal.al.hashimi,faisal.alhashimi@gov.ae,2025-06-21
gcp,user:faisal.alhashimi@gov.ae,faisal.alhashimi@gov.ae,2025-06-21
azure,mei.osman@gov.ae,mei.osman@gov.ae,2026-03-10
gcp,user:mei.osman@gov.ae,mei.osman@gov.ae,2026-03-10
azure,priya.ibrahim2@gov.ae,priya.ibrahim2@gov.ae,2025-12-10
aws,arn:aws:iam::111122223333:user/tariq.rahman,tariq.rahman@gov.ae,2026-01-27
azure,tariq.rahman@gov.ae,tariq.rahman@gov.ae,2026-01-27
gcp,user:tariq.rahman@gov.ae,tariq.rahman@gov.ae,2026-01-27
aws,arn:aws:iam::111122223333:user/liam.khan,liam.khan@gov.ae,2026-08-17
gcp,user:liam.khan@gov.ae,liam.khan@gov.ae,2026-08-17
aws,arn:aws:iam::111122223333:user/hana.sharma,hana.sharma2@gov.ae,2026-08-20
azure,hana.sharma2@gov.ae,hana.sharma2@gov.ae,2026-08-20
gcp,user:hana.sharma2@gov.ae,hana.sharma2@gov.ae,2026-08-20
aws,arn:aws:iam::111122223333:user/wei.al.mansoori,wei.almansoori@gov.ae,2026-07-10
gcp,user:wei.almansoori@gov.ae,wei.almansoori@gov.ae,2026-07-10
azure,wafa.patel@gov.ae,wafa.patel@gov.ae,2026-02-14
gcp,user:wafa.patel@gov.ae,wafa.patel@gov.ae,2026-02-14
azure,arun.smith@gov.ae,arun.smith@gov.ae,2026-08-27
gcp,user:arun.smith@gov.ae,arun.smith@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/hana.osman,hana.osman2@gov.ae,2026-09-07
gcp,user:hana.osman2@gov.ae,hana.osman2@gov.ae,2026-09-07
aws,arn:aws:iam::111122223333:user/amal.zaman,amal.zaman@gov.ae,2026-08-15
azure,amal.zaman@gov.ae,amal.zaman@gov.ae,2026-08-15
gcp,user:amal.zaman@gov.ae,amal.zaman@gov.ae,2026-08-15
aws,arn:aws:iam::111122223333:user/wafa.osman,wafa.osman@gov.ae,2026-08-07
azure,wafa.osman@gov.ae,wafa.osman@gov.ae,2026-08-07
gcp,user:wafa.osman@gov.ae,wafa.osman@gov.ae,2026-08-07
aws,arn:aws:iam::111122223333:user/mariam.qureshi,mariam.qureshi@gov.ae,2026-08-06
azure,mariam.qureshi@gov.ae,mariam.qureshi@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/olivia.kumar,olivia.kumar@gov.ae,2026-08-26
azure,olivia.kumar@gov.ae,olivia.kumar@gov.ae,2026-08-26
aws,arn:aws:iam::111122223333:user/hamdan.rahman,hamdan.rahman@gov.ae,2026-09-08
azure,hamdan.rahman@gov.ae,hamdan.rahman@gov.ae,2026-09-08
azure,adel.alhashimi@gov.ae,adel.alhashimi@gov.ae,2026-08-31
gcp,user:adel.alhashimi@gov.ae,adel.alhashimi@gov.ae,2026-08-31
aws,arn:aws:iam::111122223333:user/layla.al.nuaimi,layla.alnuaimi@gov.ae,2025-12-22
azure,layla.alnuaimi@gov.ae,layla.alnuaimi@gov.ae,2025-12-22
gcp,user:layla.alnuaimi@gov.ae,layla.alnuaimi@gov.ae,2025-12-22
azure,emma.qureshi@gov.ae,emma.qureshi@gov.ae,2026-07-21
gcp,user:emma.qureshi@gov.ae,emma.qureshi@gov.ae,2026-07-21
aws,arn:aws:iam::111122223333:user/bilal.patel,bilal.patel@gov.ae,2026-08-09
gcp,user:bilal.patel@gov.ae,bilal.patel@gov.ae,2026-08-09
aws,arn:aws:iam::111122223333:user/dana.al.suwaidi,dana.alsuwaidi@gov.ae,2026-09-03
azure,dana.alsuwaidi@gov.ae,dana.alsuwaidi@gov.ae,2026-09-03
gcp,user:dana.alsuwaidi@gov.ae,dana.alsuwaidi@gov.ae,2026-09-03
aws,arn:aws:iam::111122223333:user/faisal.haddad,faisal.haddad@gov.ae,2025-12-08
azure,faisal.haddad@gov.ae,faisal.haddad@gov.ae,2025-12-08
gcp,user:faisal.haddad@gov.ae,faisal.haddad@gov.ae,2025-12-08
aws,arn:aws:iam::111122223333:user/priya.johnson,priya.johnson@gov.ae,2026-08-11
azure,priya.johnson@gov.ae,priya.johnson@gov.ae,2026-08-11
gcp,user:priya.johnson@gov.ae,priya.johnson@gov.ae,2026-08-11
aws,arn:aws:iam::111122223333:user/latifa.al.mansoori,latifa.almansoori@gov.ae,2026-03-27
azure,latifa.almansoori@gov.ae,latifa.almansoori@gov.ae,2026-03-27
gcp,user:latifa.almansoori@gov.ae,latifa.almansoori@gov.ae,2026-03-27
gcp,user:olivia.ibrahim@gov.ae,olivia.ibrahim@gov.ae,2026-08-19
aws,arn:aws:iam::111122223333:user/emma.al.suwaidi,emma.alsuwaidi@gov.ae,2026-06-25
aws,arn:aws:iam::111122223333:user/huda.al.balushi,huda.albalushi@gov.ae,2026-03-28
gcp,user:huda.albalushi@gov.ae,huda.albalushi@gov.ae,2026-03-28
aws,arn:aws:iam::111122223333:user/tariq.al.mansoori,tariq.almansoori@gov.ae,2026-08-01
gcp,user:tariq.almansoori@gov.ae,tariq.almansoori@gov.ae,2026-08-01
aws,arn:aws:iam::111122223333:user/noah.costa,noah.costa@gov.ae,2026-08-13
azure,noah.costa@gov.ae,noah.costa@gov.ae,2026-08-13
gcp,user:noah.costa@gov.ae,noah.costa@gov.ae,2026-08-13
aws,arn:aws:iam::111122223333:user/saeed.qureshi,saeed.qureshi@gov.ae,2026-06-22
azure,saeed.qureshi@gov.ae,saeed.qureshi@gov.ae,2026-06-22
aws,arn:aws:iam::111122223333:user/mei.kumar,mei.kumar@gov.ae,2026-06-25
gcp,user:mei.kumar@gov.ae,mei.kumar@gov.ae,2026-06-25
aws,arn:aws:iam::111122223333:user/maha.johnson,maha.johnson@gov.ae,2026-08-14
aws,arn:aws:iam::111122223333:user/adel.sharma,adel.sharma2@gov.ae,2026-07-12
azure,adel.sharma2@gov.ae,adel.sharma2@gov.ae,2026-07-12
aws,arn:aws:iam::111122223333:user/hamdan.farah,hamdan.farah2@gov.ae,2026-09-01
azure,hamdan.farah2@gov.ae,hamdan.farah2@gov.ae,2026-09-01
gcp,user:hamdan.farah2@gov.ae,hamdan.farah2@gov.ae,2026-09-01
aws,arn:aws:iam::111122223333:user/faisal.patel,faisal.patel@gov.ae,2026-08-10
gcp,user:faisal.patel@gov.ae,faisal.patel@gov.ae,2026-08-10
aws,arn:aws:iam::111122223333:user/hamdan.kumar,hamdan.kumar@gov.ae,2026-08-08
azure,hamdan.kumar@gov.ae,hamdan.kumar@gov.ae,2026-08-08
gcp,user:hamdan.kumar@gov.ae,hamdan.kumar@gov.ae,2026-08-08
azure,james.silva2@gov.ae,james.silva2@gov.ae,2026-08-27
aws,arn:aws:iam::111122223333:user/emma.silva,emma.silva2@gov.ae,2026-08-09
azure,emma.silva2@gov.ae,emma.silva2@gov.ae,2026-08-09
aws,arn:aws:iam::111122223333:user/adel.aziz,adel.aziz@gov.ae,2026-07-23
azure,adel.aziz@gov.ae,adel.aziz@gov.ae,2026-07-23
azure,adel.farah@gov.ae,adel.farah@gov.ae,2026-07-01
